,date,partialPct,demographic_value
0,2020-12-15,0.0,12-17
1,2020-12-16,0.0,12-17
2,2020-12-17,0.0,12-17
3,2020-12-18,0.0,12-17
4,2020-12-19,0.0,12-17
5,2020-12-20,0.0,12-17
6,2020-12-21,0.0,12-17
7,2020-12-22,0.0,12-17
8,2020-12-23,0.0,12-17
9,2020-12-24,0.0,12-17
10,2020-12-25,0.0,12-17
11,2020-12-26,0.0,12-17
12,2020-12-27,0.0,12-17
13,2020-12-28,0.0,12-17
14,2020-12-29,9.009820704567979e-05,12-17
15,2020-12-30,9.009820704567979e-05,12-17
16,2020-12-31,9.009820704567979e-05,12-17
17,2021-01-01,9.009820704567979e-05,12-17
18,2021-01-02,9.009820704567979e-05,12-17
19,2021-01-03,9.009820704567979e-05,12-17
20,2021-01-04,9.009820704567979e-05,12-17
21,2021-01-05,9.009820704567979e-05,12-17
22,2021-01-06,9.009820704567979e-05,12-17
23,2021-01-07,9.009820704567979e-05,12-17
24,2021-01-08,0.00015016367840946633,12-17
25,2021-01-09,0.00015016367840946633,12-17
26,2021-01-10,0.00015016367840946633,12-17
27,2021-01-11,0.00021022914977325284,12-17
28,2021-01-12,0.00030032735681893266,12-17
29,2021-01-13,0.0003303600925008259,12-17
30,2021-01-14,0.0003303600925008259,12-17
31,2021-01-15,0.0003904255638646124,12-17
32,2021-01-16,0.00045049103522839894,12-17
33,2021-01-17,0.00045049103522839894,12-17
34,2021-01-18,0.0004805237709102922,12-17
35,2021-01-19,0.0004805237709102922,12-17
36,2021-01-20,0.0005706219779559721,12-17
37,2021-01-21,0.0007207856563654383,12-17
38,2021-01-22,0.0007207856563654383,12-17
39,2021-01-23,0.0007508183920473315,12-17
40,2021-01-24,0.0007808511277292248,12-17
41,2021-01-25,0.0008108838634111181,12-17
42,2021-01-26,0.0008409165990930113,12-17
43,2021-01-27,0.0008709493347749046,12-17
44,2021-01-28,0.0009310148061386911,12-17
45,2021-01-29,0.0009610475418205844,12-17
46,2021-01-30,0.0009910802775024777,12-17
47,2021-01-31,0.001021113013184371,12-17
48,2021-02-01,0.0011712766915938373,12-17
49,2021-02-02,0.0012013094272757307,12-17
50,2021-02-03,0.0012313421629576238,12-17
51,2021-02-04,0.0012914076343214103,12-17
52,2021-02-05,0.0013514731056851969,12-17
53,2021-02-06,0.0014115385770489834,12-17
54,2021-02-07,0.001501636784094663,12-17
55,2021-02-08,0.001501636784094663,12-17
56,2021-02-09,0.0015316695197765565,12-17
57,2021-02-10,0.0015316695197765565,12-17
58,2021-02-11,0.001591734991140343,12-17
59,2021-02-12,0.0016217677268222362,12-17
60,2021-02-13,0.0016217677268222362,12-17
61,2021-02-14,0.0016217677268222362,12-17
62,2021-02-15,0.0016217677268222362,12-17
63,2021-02-16,0.001711865933867916,12-17
64,2021-02-17,0.001711865933867916,12-17
65,2021-02-18,0.001711865933867916,12-17
66,2021-02-19,0.0017418986695498092,12-17
67,2021-02-20,0.0017418986695498092,12-17
68,2021-02-21,0.0017418986695498092,12-17
69,2021-02-22,0.0017719314052317026,12-17
70,2021-02-23,0.0017719314052317026,12-17
71,2021-02-24,0.0017719314052317026,12-17
72,2021-02-25,0.0017719314052317026,12-17
73,2021-02-26,0.0017719314052317026,12-17
74,2021-02-27,0.0018620296122773823,12-17
75,2021-02-28,0.0018620296122773823,12-17
76,2021-03-01,0.0019521278193230622,12-17
77,2021-03-02,0.0020121932906868485,12-17
78,2021-03-03,0.0020121932906868485,12-17
79,2021-03-04,0.0020722587620506353,12-17
80,2021-03-05,0.0020722587620506353,12-17
81,2021-03-06,0.002162356969096315,12-17
82,2021-03-07,0.0021923897047782083,12-17
