county,cumulative_at_least_one_dose,date,population,cumulative_fully_vaccinated
Alameda,41,2020-12-15,1685886.0,0
Alameda,257,2020-12-16,1685886.0,0
Alameda,769,2020-12-17,1685886.0,0
Alameda,2696,2020-12-18,1685886.0,0
Alameda,4112,2020-12-19,1685886.0,0
Alameda,5287,2020-12-20,1685886.0,1
Alameda,7123,2020-12-21,1685886.0,1
Alameda,9209,2020-12-22,1685886.0,2
Alameda,11142,2020-12-23,1685886.0,3
Alameda,12347,2020-12-24,1685886.0,3
Alameda,12505,2020-12-25,1685886.0,3
Alameda,13349,2020-12-26,1685886.0,3
Alameda,13836,2020-12-27,1685886.0,3
Alameda,15707,2020-12-28,1685886.0,3
Alameda,18210,2020-12-29,1685886.0,3
Alameda,21308,2020-12-30,1685886.0,3
Alameda,23108,2020-12-31,1685886.0,5
Alameda,23287,2021-01-01,1685886.0,7
Alameda,24012,2021-01-02,1685886.0,7
Alameda,24338,2021-01-03,1685886.0,10
Alameda,25932,2021-01-04,1685886.0,21
Alameda,27889,2021-01-05,1685886.0,273
Alameda,30260,2021-01-06,1685886.0,1159
Alameda,32888,2021-01-07,1685886.0,2333
Alameda,35933,2021-01-08,1685886.0,4067
Alameda,37086,2021-01-09,1685886.0,4934
Alameda,37511,2021-01-10,1685886.0,5566
Alameda,40393,2021-01-11,1685886.0,7383
Alameda,43873,2021-01-12,1685886.0,8779
Alameda,47746,2021-01-13,1685886.0,9979
Alameda,52538,2021-01-14,1685886.0,10878
Alameda,57583,2021-01-15,1685886.0,11644
Alameda,60288,2021-01-16,1685886.0,11906
Alameda,61943,2021-01-17,1685886.0,12127
Alameda,64507,2021-01-18,1685886.0,12714
Alameda,68804,2021-01-19,1685886.0,13934
Alameda,74403,2021-01-20,1685886.0,15221
Alameda,81699,2021-01-21,1685886.0,16081
Alameda,87396,2021-01-22,1685886.0,17221
Alameda,90121,2021-01-23,1685886.0,17767
Alameda,91869,2021-01-24,1685886.0,18034
Alameda,95510,2021-01-25,1685886.0,19593
Alameda,100948,2021-01-26,1685886.0,21475
Alameda,105799,2021-01-27,1685886.0,23323
Alameda,111415,2021-01-28,1685886.0,25537
Alameda,117566,2021-01-29,1685886.0,27376
Alameda,120280,2021-01-30,1685886.0,28080
Alameda,121964,2021-01-31,1685886.0,28317
Alameda,126296,2021-02-01,1685886.0,30455
Alameda,130987,2021-02-02,1685886.0,32802
Alameda,135327,2021-02-03,1685886.0,35537
Alameda,141636,2021-02-04,1685886.0,38670
Alameda,147988,2021-02-05,1685886.0,42577
Alameda,153790,2021-02-06,1685886.0,43725
Alameda,156420,2021-02-07,1685886.0,44672
Alameda,161943,2021-02-08,1685886.0,47243
Alameda,167979,2021-02-09,1685886.0,50898
Alameda,174438,2021-02-10,1685886.0,55982
Alameda,182540,2021-02-11,1685886.0,61880
Alameda,190305,2021-02-12,1685886.0,66639
Alameda,196160,2021-02-13,1685886.0,68610
Alameda,199024,2021-02-14,1685886.0,69788
Alameda,202711,2021-02-15,1685886.0,71795
Alameda,212032,2021-02-16,1685886.0,75058
Alameda,222517,2021-02-17,1685886.0,78752
Alameda,234103,2021-02-18,1685886.0,83120
Alameda,245928,2021-02-19,1685886.0,89269
Alameda,255240,2021-02-20,1685886.0,92112
