date,county,pct
2020-02-01,Alameda,0.0
2020-02-02,Alameda,0.0
2020-02-03,Alameda,0.0
2020-02-04,Alameda,0.0
2020-02-05,Alameda,0.0
2020-02-06,Alameda,0.0
2020-02-07,Alameda,0.0
2020-02-08,Alameda,0.0
2020-02-09,Alameda,0.0
2020-02-10,Alameda,0.0
2020-02-11,Alameda,0.0
2020-02-12,Alameda,0.0
2020-02-13,Alameda,0.0
2020-02-14,Alameda,0.0
2020-02-15,Alameda,0.0
2020-02-16,Alameda,0.0
2020-02-17,Alameda,0.0
2020-02-18,Alameda,0.0
2020-02-19,Alameda,0.0
2020-02-20,Alameda,0.0
2020-02-21,Alameda,0.0
2020-02-22,Alameda,0.0
2020-02-23,Alameda,0.0
2020-02-24,Alameda,0.0
2020-02-25,Alameda,0.0
2020-02-26,Alameda,0.0
2020-02-27,Alameda,0.0
2020-02-28,Alameda,0.0
2020-02-29,Alameda,0.0
2020-03-01,Alameda,0.0
2020-03-02,Alameda,0.0
2020-03-03,Alameda,0.0
2020-03-04,Alameda,0.0
2020-03-05,Alameda,0.0
2020-03-06,Alameda,0.0
2020-03-07,Alameda,0.0
2020-03-08,Alameda,0.0
2020-03-09,Alameda,0.0
2020-03-10,Alameda,0.0
2020-03-11,Alameda,0.0
2020-03-12,Alameda,0.0
2020-03-13,Alameda,0.0
2020-03-14,Alameda,0.0
2020-03-15,Alameda,0.0
2020-03-16,Alameda,0.0
2020-03-17,Alameda,0.0
2020-03-18,Alameda,0.0
2020-03-19,Alameda,0.0
2020-03-20,Alameda,0.0
2020-03-21,Alameda,0.0
2020-03-22,Alameda,5.9315991709997e-07
2020-03-23,Alameda,5.9315991709997e-07
2020-03-24,Alameda,1.18631983419994e-06
2020-03-25,Alameda,1.77947975129991e-06
2020-03-26,Alameda,2.37263966839988e-06
2020-03-27,Alameda,2.37263966839988e-06
2020-03-28,Alameda,7.11791900519964e-06
2020-03-29,Alameda,3.55895950259982e-06
2020-03-30,Alameda,4.15211941969979e-06
2020-03-31,Alameda,4.15211941969979e-06
2020-04-01,Alameda,4.74527933679976e-06
2020-04-02,Alameda,5.9315991709997e-06
2020-04-03,Alameda,6.52475908809967e-06
2020-04-04,Alameda,7.11791900519964e-06
2020-04-05,Alameda,7.11791900519964e-06
2020-04-06,Alameda,7.71107892229961e-06
2020-04-07,Alameda,8.30423883939958e-06
2020-04-08,Alameda,8.89739875649955e-06
2020-04-09,Alameda,1.008371859069949e-05
2020-04-10,Alameda,1.2456358259099369e-05
2020-04-11,Alameda,1.3642678093299309e-05
2020-04-12,Alameda,1.3642678093299309e-05
2020-04-13,Alameda,1.3642678093299309e-05
2020-04-14,Alameda,1.77947975129991e-05
2020-04-15,Alameda,2.254007684979886e-05
2020-04-16,Alameda,2.313323676689883e-05
2020-04-17,Alameda,2.37263966839988e-05
2020-04-18,Alameda,2.37263966839988e-05
2020-04-19,Alameda,2.431955660109877e-05
2020-04-20,Alameda,2.4912716518198738e-05
2020-04-21,Alameda,2.7285356186598618e-05
2020-04-22,Alameda,2.7285356186598618e-05
2020-04-23,Alameda,2.7285356186598618e-05
2020-04-24,Alameda,2.96579958549985e-05
2020-04-25,Alameda,3.084431568919844e-05
2020-04-26,Alameda,3.084431568919844e-05
2020-04-27,Alameda,3.143747560629841e-05
2020-04-28,Alameda,3.262379544049835e-05
2020-04-29,Alameda,3.55895950259982e-05
2020-04-30,Alameda,3.55895950259982e-05
2020-05-01,Alameda,3.736907477729811e-05
2020-05-02,Alameda,3.736907477729811e-05
2020-05-03,Alameda,3.796223469439808e-05
2020-05-04,Alameda,3.855539461149805e-05
2020-05-05,Alameda,3.974171444569799e-05
2020-05-06,Alameda,3.974171444569799e-05
2020-05-07,Alameda,4.033487436279796e-05
2020-05-08,Alameda,4.15211941969979e-05
2020-05-09,Alameda,4.211435411409787e-05
2020-05-10,Alameda,4.211435411409787e-05
2020-05-11,Alameda,4.211435411409787e-05
2020-05-12,Alameda,4.389383386539778e-05
2020-05-13,Alameda,4.626647353379766e-05
2020-05-14,Alameda,4.74527933679976e-05
2020-05-15,Alameda,4.923227311929751e-05
2020-05-16,Alameda,4.923227311929751e-05
2020-05-17,Alameda,4.923227311929751e-05
2020-05-18,Alameda,4.9825433036397476e-05
2020-05-19,Alameda,5.219807270479736e-05
2020-05-20,Alameda,5.279123262189733e-05
2020-05-21,Alameda,5.279123262189733e-05
2020-05-22,Alameda,5.397755245609727e-05
2020-05-23,Alameda,5.397755245609727e-05
2020-05-24,Alameda,5.4570712373197237e-05
2020-05-25,Alameda,5.4570712373197237e-05
2020-05-26,Alameda,5.4570712373197237e-05
2020-05-27,Alameda,5.575703220739718e-05
2020-05-28,Alameda,5.575703220739718e-05
2020-05-29,Alameda,5.694335204159712e-05
2020-05-30,Alameda,5.694335204159712e-05
2020-05-31,Alameda,5.8129671875797055e-05
2020-06-01,Alameda,5.8129671875797055e-05
2020-06-02,Alameda,5.872283179289703e-05
2020-06-03,Alameda,5.872283179289703e-05
2020-06-04,Alameda,5.872283179289703e-05
2020-06-05,Alameda,6.050231154419694e-05
2020-06-06,Alameda,6.050231154419694e-05
2020-06-07,Alameda,6.050231154419694e-05
2020-06-08,Alameda,6.10954714612969e-05
2020-06-09,Alameda,6.10954714612969e-05
2020-06-10,Alameda,6.346811112969679e-05
2020-06-11,Alameda,6.406127104679676e-05
2020-06-12,Alameda,6.465443096389673e-05
2020-06-13,Alameda,6.643391071519663e-05
2020-06-14,Alameda,6.643391071519663e-05
2020-06-15,Alameda,6.643391071519663e-05
2020-06-16,Alameda,6.702707063229661e-05
2020-06-17,Alameda,6.939971030069649e-05
2020-06-18,Alameda,6.999287021779645e-05
2020-06-19,Alameda,7.058603013489643e-05
2020-06-20,Alameda,7.058603013489643e-05
2020-06-21,Alameda,7.177234996909636e-05
2020-06-22,Alameda,7.177234996909636e-05
2020-06-23,Alameda,7.177234996909636e-05
2020-06-24,Alameda,7.295866980329631e-05
