,date,partialPct,demographic_value
261,2020-12-15,0.0,Indigenous
260,2020-12-16,0.0,Indigenous
259,2020-12-17,0.0005197505197505198,Indigenous
258,2020-12-18,0.0005197505197505198,Indigenous
257,2020-12-19,0.0005197505197505198,Indigenous
256,2020-12-20,0.0005197505197505198,Indigenous
255,2020-12-21,0.002079002079002079,Indigenous
254,2020-12-22,0.002079002079002079,Indigenous
253,2020-12-23,0.005197505197505198,Indigenous
252,2020-12-24,0.006237006237006237,Indigenous
251,2020-12-25,0.006237006237006237,Indigenous
250,2020-12-26,0.007276507276507277,Indigenous
249,2020-12-27,0.007796257796257797,Indigenous
248,2020-12-28,0.007796257796257797,Indigenous
247,2020-12-29,0.011434511434511435,Indigenous
246,2020-12-30,0.014033264033264034,Indigenous
245,2020-12-31,0.015592515592515593,Indigenous
244,2021-01-01,0.016112266112266113,Indigenous
243,2021-01-02,0.017671517671517672,Indigenous
242,2021-01-03,0.017671517671517672,Indigenous
241,2021-01-04,0.018711018711018712,Indigenous
240,2021-01-05,0.02130977130977131,Indigenous
239,2021-01-06,0.02234927234927235,Indigenous
238,2021-01-07,0.02494802494802495,Indigenous
237,2021-01-08,0.028586278586278588,Indigenous
236,2021-01-09,0.030145530145530147,Indigenous
235,2021-01-10,0.030145530145530147,Indigenous
234,2021-01-11,0.034823284823284825,Indigenous
233,2021-01-12,0.04261954261954262,Indigenous
232,2021-01-13,0.04677754677754678,Indigenous
231,2021-01-14,0.04885654885654886,Indigenous
230,2021-01-15,0.05197505197505198,Indigenous
229,2021-01-16,0.05301455301455302,Indigenous
228,2021-01-17,0.05353430353430354,Indigenous
227,2021-01-18,0.0550935550935551,Indigenous
226,2021-01-19,0.056133056133056136,Indigenous
225,2021-01-20,0.059771309771309775,Indigenous
224,2021-01-21,0.061330561330561334,Indigenous
223,2021-01-22,0.06652806652806653,Indigenous
222,2021-01-23,0.06860706860706861,Indigenous
221,2021-01-24,0.06912681912681913,Indigenous
220,2021-01-25,0.07068607068607069,Indigenous
219,2021-01-26,0.07328482328482329,Indigenous
218,2021-01-27,0.07484407484407485,Indigenous
217,2021-01-28,0.07744282744282745,Indigenous
216,2021-01-29,0.079002079002079,Indigenous
215,2021-01-30,0.08004158004158005,Indigenous
214,2021-01-31,0.08056133056133057,Indigenous
213,2021-02-01,0.08212058212058213,Indigenous
212,2021-02-02,0.08471933471933472,Indigenous
211,2021-02-03,0.08835758835758836,Indigenous
210,2021-02-04,0.08991683991683992,Indigenous
209,2021-02-05,0.09303534303534304,Indigenous
208,2021-02-06,0.09407484407484408,Indigenous
207,2021-02-07,0.09407484407484408,Indigenous
206,2021-02-08,0.0945945945945946,Indigenous
205,2021-02-09,0.09563409563409564,Indigenous
204,2021-02-10,0.09615384615384616,Indigenous
203,2021-02-11,0.0971933471933472,Indigenous
202,2021-02-12,0.09875259875259876,Indigenous
201,2021-02-13,0.09927234927234928,Indigenous
200,2021-02-14,0.10031185031185032,Indigenous
199,2021-02-15,0.10135135135135136,Indigenous
198,2021-02-16,0.10291060291060292,Indigenous
197,2021-02-17,0.10395010395010396,Indigenous
196,2021-02-18,0.10550935550935552,Indigenous
195,2021-02-19,0.10914760914760915,Indigenous
194,2021-02-20,0.11174636174636175,Indigenous
193,2021-02-21,0.11174636174636175,Indigenous
192,2021-02-22,0.11278586278586279,Indigenous
191,2021-02-23,0.11538461538461539,Indigenous
190,2021-02-24,0.11850311850311851,Indigenous
189,2021-02-25,0.11902286902286903,Indigenous
188,2021-02-26,0.12162162162162163,Indigenous
187,2021-02-27,0.12266112266112267,Indigenous
186,2021-02-28,0.12474012474012475,Indigenous
185,2021-03-01,0.1288981288981289,Indigenous
184,2021-03-02,0.13097713097713098,Indigenous
183,2021-03-03,0.13617463617463618,Indigenous
182,2021-03-04,0.14033264033264034,Indigenous
181,2021-03-05,0.14916839916839916,Indigenous
180,2021-03-06,0.15228690228690228,Indigenous
179,2021-03-07,0.15228690228690228,Indigenous
178,2021-03-08,0.15592515592515593,Indigenous
177,2021-03-09,0.15956340956340956,Indigenous
176,2021-03-10,0.16216216216216217,Indigenous
175,2021-03-11,0.1683991683991684,Indigenous
174,2021-03-12,0.17567567567567569,Indigenous
173,2021-03-13,0.1787941787941788,Indigenous
172,2021-03-14,0.18035343035343035,Indigenous
171,2021-03-15,0.183991683991684,Indigenous
170,2021-03-16,0.1897089397089397,Indigenous
169,2021-03-17,0.19230769230769232,Indigenous
168,2021-03-18,0.20062370062370063,Indigenous
167,2021-03-19,0.20582120582120583,Indigenous
166,2021-03-20,0.20634095634095634,Indigenous
165,2021-03-21,0.20997920997921,Indigenous
164,2021-03-22,0.21153846153846154,Indigenous
163,2021-03-23,0.21413721413721415,Indigenous
162,2021-03-24,0.21621621621621623,Indigenous
161,2021-03-25,0.21985446985446985,Indigenous
160,2021-03-26,0.22713097713097713,Indigenous
159,2021-03-27,0.22817047817047817,Indigenous
158,2021-03-28,0.23076923076923078,Indigenous
157,2021-03-29,0.23700623700623702,Indigenous
156,2021-03-30,0.24376299376299376,Indigenous
155,2021-03-31,0.24636174636174638,Indigenous
154,2021-04-01,0.2577962577962578,Indigenous
153,2021-04-02,0.2609147609147609,Indigenous
152,2021-04-03,0.2624740124740125,Indigenous
151,2021-04-04,0.2635135135135135,Indigenous
150,2021-04-05,0.26767151767151764,Indigenous
149,2021-04-06,0.27286902286902287,Indigenous
148,2021-04-07,0.2791060291060291,Indigenous
147,2021-04-08,0.2874220374220374,Indigenous
146,2021-04-09,0.29521829521829523,Indigenous
145,2021-04-10,0.30145530145530147,Indigenous
144,2021-04-11,0.303014553014553,Indigenous
143,2021-04-12,0.30613305613305614,Indigenous
142,2021-04-13,0.3087318087318087,Indigenous
141,2021-04-14,0.31444906444906445,Indigenous
140,2021-04-15,0.31756756756756754,Indigenous
139,2021-04-16,0.3206860706860707,Indigenous
138,2021-04-17,0.32276507276507277,Indigenous
137,2021-04-18,0.32276507276507277,Indigenous
136,2021-04-19,0.32588357588357586,Indigenous
135,2021-04-20,0.3284823284823285,Indigenous
134,2021-04-21,0.3316008316008316,Indigenous
133,2021-04-22,0.3341995841995842,Indigenous
132,2021-04-23,0.33575883575883575,Indigenous
131,2021-04-24,0.33783783783783783,Indigenous
130,2021-04-25,0.33783783783783783,Indigenous
129,2021-04-26,0.340956340956341,Indigenous
128,2021-04-27,0.341995841995842,Indigenous
127,2021-04-28,0.34615384615384615,Indigenous
126,2021-04-29,0.3503118503118503,Indigenous
125,2021-04-30,0.3529106029106029,Indigenous
124,2021-05-01,0.35654885654885654,Indigenous
123,2021-05-02,0.35654885654885654,Indigenous
122,2021-05-03,0.35706860706860705,Indigenous
121,2021-05-04,0.3601871101871102,Indigenous
120,2021-05-05,0.36382536382536385,Indigenous
119,2021-05-06,0.3659043659043659,Indigenous
118,2021-05-07,0.36694386694386694,Indigenous
117,2021-05-08,0.367983367983368,Indigenous
116,2021-05-09,0.367983367983368,Indigenous
115,2021-05-10,0.367983367983368,Indigenous
114,2021-05-11,0.3705821205821206,Indigenous
113,2021-05-12,0.3716216216216216,Indigenous
112,2021-05-13,0.3737006237006237,Indigenous
111,2021-05-14,0.37474012474012475,Indigenous
110,2021-05-15,0.3788981288981289,Indigenous
109,2021-05-16,0.3804573804573805,Indigenous
108,2021-05-17,0.3814968814968815,Indigenous
107,2021-05-18,0.3840956340956341,Indigenous
106,2021-05-19,0.3866943866943867,Indigenous
105,2021-05-20,0.3872141372141372,Indigenous
104,2021-05-21,0.38825363825363823,Indigenous
