date,population,cumulative_pfizer_doses,cumulative_moderna_doses,cumulative_jj_doses,cumulative_fully_vaccinated,cumulative_at_least_one_dose
2020-12-15,456373.0,2,0,0,0,2
2020-12-16,456373.0,4,0,0,0,4
2020-12-17,456373.0,169,0,0,0,169
2020-12-18,456373.0,583,1,0,0,584
2020-12-19,456373.0,930,1,0,0,930
2020-12-20,456373.0,1164,1,0,0,1164
2020-12-21,456373.0,1840,3,0,0,1842
2020-12-22,456373.0,2112,5,0,0,2116
2020-12-23,456373.0,2335,123,0,0,2457
2020-12-24,456373.0,2379,172,0,0,2550
2020-12-25,456373.0,2379,172,0,0,2550
2020-12-26,456373.0,2454,430,0,0,2883
2020-12-27,456373.0,2455,493,0,0,2947
2020-12-28,456373.0,2695,626,0,0,3320
2020-12-29,456373.0,3062,828,0,0,3889
2020-12-30,456373.0,3464,1017,0,0,4479
2020-12-31,456373.0,3588,1146,0,0,4732
2021-01-01,456373.0,3709,1152,0,0,4859
2021-01-02,456373.0,3944,1519,0,0,5461
2021-01-03,456373.0,3960,1527,0,0,5485
2021-01-04,456373.0,4206,1589,0,0,5792
2021-01-05,456373.0,4602,1966,0,36,6529
2021-01-06,456373.0,4883,2356,0,145,7090
2021-01-07,456373.0,5618,2677,0,712,7575
2021-01-08,456373.0,6477,3036,0,1223,8282
2021-01-09,456373.0,6793,3312,0,1492,8606
2021-01-10,456373.0,6844,3325,0,1510,8652
2021-01-11,456373.0,7548,3493,0,1762,9271
2021-01-12,456373.0,8209,4286,0,1938,10549
2021-01-13,456373.0,8494,5236,0,2078,11645
2021-01-14,456373.0,8647,6361,0,2143,12859
2021-01-15,456373.0,9084,7745,0,2232,14589
2021-01-16,456373.0,9291,8817,0,2275,15824
2021-01-17,456373.0,9315,8920,0,2278,15948
2021-01-18,456373.0,9740,9648,0,2470,16910
2021-01-19,456373.0,10312,10743,0,2757,18287
2021-01-20,456373.0,10983,12316,0,3188,20100
2021-01-21,456373.0,12928,13609,0,3361,23166
2021-01-22,456373.0,14730,14765,0,3536,25946
2021-01-23,456373.0,15845,15403,0,4056,27178
2021-01-24,456373.0,16606,15503,0,4066,28029
2021-01-25,456373.0,17112,16250,0,4308,29040
2021-01-26,456373.0,17626,17829,0,4695,30744
2021-01-27,456373.0,18028,18601,0,4961,31653
2021-01-28,456373.0,18334,19210,0,5179,32344
2021-01-29,456373.0,18861,20036,0,5542,33331
2021-01-30,456373.0,20272,20530,0,5962,34813
2021-01-31,456373.0,21483,20783,0,6004,36236
2021-02-01,456373.0,22009,21222,0,6406,36799
2021-02-02,456373.0,22696,22351,0,7169,37849
2021-02-03,456373.0,23788,23245,0,7622,39372
2021-02-04,456373.0,25683,24182,0,7924,41897
2021-02-05,456373.0,27767,25035,0,8581,44175
2021-02-06,456373.0,28102,25914,0,9000,44971
2021-02-07,456373.0,28372,25958,0,9039,45245
2021-02-08,456373.0,28683,26601,0,9328,45910
2021-02-09,456373.0,29004,28740,0,10653,47034
2021-02-10,456373.0,30514,30023,0,12691,47775
2021-02-11,456373.0,33361,31445,0,16293,48425
2021-02-12,456373.0,34306,33818,0,18830,49199
2021-02-13,456373.0,34653,34724,0,19515,49766
2021-02-14,456373.0,34696,35023,0,19567,50058
2021-02-15,456373.0,35050,35660,0,20057,50558
2021-02-16,456373.0,35516,37385,0,21510,51291
2021-02-17,456373.0,35860,38511,0,22452,51817
2021-02-18,456373.0,38536,39134,0,24175,53354
2021-02-19,456373.0,41194,40093,0,25452,55692
2021-02-20,456373.0,42732,40902,0,26029,57453
2021-02-21,456373.0,42852,40932,0,26111,57519
2021-02-22,456373.0,43122,41654,0,26816,57804
2021-02-23,456373.0,44243,43918,0,29761,58242
2021-02-24,456373.0,45409,46150,0,32393,58993
2021-02-25,456373.0,47436,47776,0,34980,60053
2021-02-26,456373.0,49746,49326,0,36745,62137
2021-02-27,456373.0,50337,50498,0,37565,63079
2021-02-28,456373.0,50573,51436,0,37770,64043
2021-03-01,456373.0,51115,52667,2,38326,65242
2021-03-02,456373.0,51570,55023,3,38844,67525
2021-03-03,456373.0,53769,57624,5,39460,71710
2021-03-04,456373.0,56166,58817,5,40043,74707
2021-03-05,456373.0,58435,60551,65,40818,78050
2021-03-06,456373.0,59193,62089,287,41603,79992
2021-03-07,456373.0,59322,62448,532,41904,80666
2021-03-08,456373.0,59712,63323,897,42711,81843
2021-03-09,456373.0,60081,65014,1678,44788,83364
2021-03-10,456373.0,60646,66202,2733,46516,85479
2021-03-11,456373.0,63686,67657,3849,49820,88864
2021-03-12,456373.0,65849,68834,4290,51384,91501
2021-03-13,456373.0,67867,70219,4498,52268,94428
2021-03-14,456373.0,68304,70588,4554,52591,95020
2021-03-15,456373.0,69007,71719,4849,53438,96584
2021-03-16,456373.0,70197,73937,5189,54433,99668
2021-03-17,456373.0,71187,75890,5591,55431,102409
2021-03-18,456373.0,73991,78176,5796,56669,106650
2021-03-19,456373.0,76780,79562,6134,58127,110033
2021-03-20,456373.0,77630,80943,6164,59014,111432
2021-03-21,456373.0,78017,81712,6196,59345,112316
2021-03-22,456373.0,79954,82530,6242,59930,114569
2021-03-23,456373.0,82244,84648,6346,60732,118369
2021-03-24,456373.0,85417,86183,7122,63262,122067
2021-03-25,456373.0,88719,88306,7328,66152,124996
2021-03-26,456373.0,91972,89891,7640,69155,127432
2021-03-27,456373.0,93212,91612,7684,70589,129041
2021-03-28,456373.0,94890,92724,7713,71533,130942
2021-03-29,456373.0,96984,94632,7787,72391,134228
2021-03-30,456373.0,100508,97800,7936,74760,138828
2021-03-31,456373.0,106053,100916,8003,78507,143850
2021-04-01,456373.0,111298,102514,8265,81413,148281
2021-04-02,456373.0,115870,104016,8857,84728,152210
2021-04-03,456373.0,117993,105659,8925,86043,154787
2021-04-04,456373.0,118443,106088,8965,86469,155318
2021-04-05,456373.0,120757,107026,9236,87794,157772
2021-04-06,456373.0,123612,109143,9806,89945,161702
2021-04-07,456373.0,126914,111348,10351,91885,166342
2021-04-08,456373.0,131991,112003,12083,95886,171521
2021-04-09,456373.0,136871,113109,13456,99941,176179
2021-04-10,456373.0,141527,114557,14075,102093,181351
2021-04-11,456373.0,143496,114975,14377,102919,183501
2021-04-12,456373.0,146348,116005,14933,105431,185968
2021-04-13,456373.0,150532,118201,14939,109187,188593
2021-04-14,456373.0,154961,120595,14941,111763,192837
2021-04-15,456373.0,159074,123494,14942,115009,196595
2021-04-16,456373.0,162855,126150,14952,117013,201025
2021-04-17,456373.0,166730,127634,14952,118270,205111
2021-04-18,456373.0,168263,128299,14952,120086,205484
2021-04-19,456373.0,170528,129315,14958,122336,206518
2021-04-20,456373.0,174515,131287,14960,126632,208164
2021-04-21,456373.0,178243,133181,14960,130457,209940
2021-04-22,456373.0,180862,135786,14961,134165,211438
2021-04-23,456373.0,184843,137549,14961,137871,213457
2021-04-24,456373.0,187789,139122,14966,140723,215113
2021-04-25,456373.0,188996,139789,14966,142083,215614
2021-04-26,456373.0,191009,141063,14987,144800,216215
2021-04-27,456373.0,193254,142793,15090,147665,217513
2021-04-28,456373.0,196137,144756,15207,151192,219048
2021-04-29,456373.0,200032,146007,15440,155082,220752
2021-04-30,456373.0,203813,147113,15605,158684,222345
2021-05-01,456373.0,207928,148296,15640,163089,223292
2021-05-02,456373.0,208602,148639,15769,163918,223736
2021-05-03,456373.0,210095,149239,15908,165696,224319
2021-05-04,456373.0,211812,150821,15982,167886,225557
2021-05-05,456373.0,215526,152485,16131,172747,226355
2021-05-06,456373.0,219502,153544,16238,176884,227449
2021-05-07,456373.0,223194,154388,16418,180579,228632
2021-05-08,456373.0,226439,155418,16518,184017,229653
2021-05-09,456373.0,226552,155972,16558,184255,230160
2021-05-10,456373.0,227227,156597,16641,185250,230628
2021-05-11,456373.0,228083,157400,16938,186744,231372
2021-05-12,456373.0,228832,158522,17167,188309,232121
2021-05-13,456373.0,231649,159442,17367,190998,233552
2021-05-14,456373.0,234184,161002,17461,193544,235273
