zip,pop12,city,unvac
93429,144,Casmalia-Antonio,99
93436,46237,Lompoc-Vandenberg Village-Mission Hills-Concepcion-Acorn,22519
93455,38992,Santa Maria-Orcutt-Betteravia,18350
93254,590,New Cuyama,276
93458,43263,Santa Maria,20092
93117,53768,Goleta-Isla Vista-Gaviota-Naples-Capitan,24696
93454,32043,Santa Maria-Sisquoc-Garey,13991
93427,5341,Buellton-Las Cruces,2127
93434,5926,Guadalupe,2279
93463,7101,Santa Ynez-Solvang-Los Olivos-Ballard,2646
93460,4623,Santa Ynez,1677
93440,1389,Los Alamos,486
93105,25430,Santa Barbara-Mission Canyon,8316
93110,15103,Santa Barbara-Hope Ranch,4819
93101,27818,Santa Barbara,8715
93103,17933,Santa Barbara,5498
93013,14495,Carpinteria-Summerland-Toro Canyon,4405
93109,10019,Santa Barbara,2975
93108,9321,Santa Barbara-Montecito-Summerland-Toro Canyon,2511
93111,15517,Goleta,3104
93441,837,Los Olivos,102
93067,405,Carpinteria,0
